DBA Name,Address,Latitude,Longitude,Community,IS_REAL_GROCERY,geometry
Chi Town Food & Liquor,5002 N Pulaski Rd,41.9720310369443,-87.728282270549,NORTH PARK,False,POINT (-87.728282270549 41.9720310369443)
Marathon Gas,3000 W 63Rd St,41.7791524505009,-87.6983306151684,CHICAGO LAWN,False,POINT (-87.6983306151684 41.7791524505009)
"Tasty Spot Food & Grill On 67, Inc.",1508 E 67Th St,41.773422815696,-87.5883368693424,WOODLAWN,False,POINT (-87.5883368693424 41.773422815696)
Fairplay Foods,4640 S Halsted St,41.809629768022,-87.6457075651288,NEW CITY,False,POINT (-87.6457075651288 41.809629768022)
"Jola & Hetman Deli, Ltd.",5513 W Belmont Ave,41.9384895513741,-87.764577225216,BELMONT CRAGIN,False,POINT (-87.764577225216 41.9384895513741)
Heart Of Middle East Mart Inc.,3526 N Halsted St,41.9462132276784,-87.6495991200709,LAKE VIEW,False,POINT (-87.6495991200709 41.9462132276784)
Dollar General Store #25059,1425 E 71St St,41.7658596705207,-87.5900148847121,SOUTH SHORE,False,POINT (-87.5900148847121 41.7658596705207)
94 Food And Tobacco,7057 S Wentworth Ave,41.7655849953589,-87.6296287798632,GREATER GRAND CROSSING,False,POINT (-87.6296287798632 41.7655849953589)
F0 Group Llc,30 N La Salle St,41.8826946686112,-87.6325314266606,LOOP,False,POINT (-87.6325314266606 41.8826946686112)
Neighborhood Deli-Groc,9001-9003 S Ashland Ave,41.730209339333,-87.6627536829885,WASHINGTON HEIGHTS,False,POINT (-87.6627536829885 41.730209339333)
"Kw Food Mart,Inc.",9249-9253 S Halsted St,41.725487429172,-87.643173591284,WASHINGTON HEIGHTS,False,POINT (-87.643173591284 41.725487429172)
Moe'S Food & Deli Inc.,3959 W Roosevelt Rd,41.8660632606992,-87.7251065164844,NORTH LAWNDALE,False,POINT (-87.7251065164844 41.8660632606992)
Avers Express Food Llc,3825 W Chicago Ave,41.8952920844304,-87.7223493894229,HUMBOLDT PARK,False,POINT (-87.7223493894229 41.8952920844304)
Handy Spot,200 E 35Th St,41.8311694823242,-87.6217052088359,DOUGLAS,False,POINT (-87.6217052088359 41.8311694823242)
Celina Deli,5089 S Archer Ave,41.8008140452698,-87.7284096829351,ARCHER HEIGHTS,False,POINT (-87.7284096829351 41.8008140452698)
Super Leon,9800 S Avenue L,41.7176287308732,-87.53663822715,EAST SIDE,False,POINT (-87.53663822715 41.7176287308732)
Gopuff,3118 N Harlem Ave,41.9369515972434,-87.8068573205792,DUNNING,False,POINT (-87.8068573205792 41.9369515972434)
Buenos Aires Liquor & Deli,3100 N Cicero Ave,41.9370448479592,-87.7469641253986,BELMONT CRAGIN,False,POINT (-87.7469641253986 41.9370448479592)
Lil Sams Mini Mart,3753 W Division St,41.9026057850102,-87.7210949282073,HUMBOLDT PARK,False,POINT (-87.7210949282073 41.9026057850102)
Bucktown Food & Liquor,2422 W Fullerton Ave,41.9250025218478,-87.6885710066666,LOGAN SQUARE,False,POINT (-87.6885710066666 41.9250025218478)
J J Mini Store,3343 N Pulaski Rd,41.9422241656108,-87.7271320000302,AVONDALE,False,POINT (-87.7271320000302 41.9422241656108)
Kurowski Sausage Shop & Rich,2976-2978 N Milwaukee Ave,41.9353055522412,-87.7178601061768,AVONDALE,False,POINT (-87.7178601061768 41.9353055522412)
Afc Sushi @ Jewel Osco # 2940,2940 N Ashland Ave,41.9354720327317,-87.6686545431426,LAKE VIEW,False,POINT (-87.6686545431426 41.9354720327317)
Rahman Holdings Inc,3601 W Grand Ave,41.9021685749928,-87.7166762957705,HUMBOLDT PARK,False,POINT (-87.7166762957705 41.9021685749928)
Bockwinkel'S,155 N Harbor Dr,41.8847505384994,-87.6156039564725,LOOP,False,POINT (-87.6156039564725 41.8847505384994)
76,119-133 S Cicero Bldg,41.8785715423974,-87.745060013603,AUSTIN,False,POINT (-87.745060013603 41.8785715423974)
Twinspot,447 E 63Rd St,41.7801615764959,-87.6138051305085,WOODLAWN,False,POINT (-87.6138051305085 41.7801615764959)
Zee'S Food Market Inc.,1759 W 79Th St,41.7501833075773,-87.6682288515575,AUBURN GRESHAM,False,POINT (-87.6682288515575 41.7501833075773)
Foodsmart,2901 W Armitage Ave,41.917358545106,-87.699341068678,LOGAN SQUARE,False,POINT (-87.699341068678 41.917358545106)
"Everyday Food Mart, Inc.",1006 W Lake St,41.885687946891,-87.6524644463094,NEAR WEST SIDE,False,POINT (-87.6524644463094 41.885687946891)
Laramie Bakery & Deli,3012-3014 N Laramie Ave,41.9354465712877,-87.7567187137181,BELMONT CRAGIN,False,POINT (-87.7567187137181 41.9354465712877)
"Chicago Light Food Mart, Inc.",4801 W Chicago Ave,41.8948927214182,-87.7459270239488,AUSTIN,False,POINT (-87.7459270239488 41.8948927214182)
Bockwinkels,222 N Columbus Dr,41.8863394160112,-87.6208361499565,LOOP,False,POINT (-87.6208361499565 41.8863394160112)
Paulina Market,3501 N Lincoln Ave,41.9452541583595,-87.6723897931988,LAKE VIEW,False,POINT (-87.6723897931988 41.9452541583595)
Falcon Fuel,7900-7910 S Lafayette Ave,41.7508910465927,-87.6259685054235,CHATHAM,False,POINT (-87.6259685054235 41.7508910465927)
Shell,6659 S Wentworth Ave,41.7728093181142,-87.6298197872635,GREATER GRAND CROSSING,False,POINT (-87.6298197872635 41.7728093181142)
107Th Food Mart,10701 S Wentworth Ave,41.6997705864983,-87.6279401550534,ROSELAND,False,POINT (-87.6279401550534 41.6997705864983)
La Casa Del Pueblo Inc,1810 S Blue Island Ave,41.8574527463958,-87.6616883310637,LOWER WEST SIDE,False,POINT (-87.6616883310637 41.8574527463958)
"Hagen'S Fish Market,Inc",5635 W Montrose Ave,41.9603545731405,-87.7686854402742,PORTAGE PARK,False,POINT (-87.7686854402742 41.9603545731405)
Andy'S Deli,5442 N Milwaukee Ave,41.9803376132098,-87.7721791725389,JEFFERSON PARK,False,POINT (-87.7721791725389 41.9803376132098)
The Grocer,1345 W Morse Ave,42.0078075101736,-87.6655186121395,ROGERS PARK,False,POINT (-87.6655186121395 42.0078075101736)
Citgo,6700-6710 S Halsted St,41.7723796165057,-87.6447416419131,ENGLEWOOD,False,POINT (-87.6447416419131 41.7723796165057)
Gaelic Imports,6346 W Gunnison St,41.9685253555743,-87.7874394024644,JEFFERSON PARK,False,POINT (-87.7874394024644 41.9685253555743)
D And D Foodmart,2000 W Devon Ave,41.998003769952,-87.6802004227905,WEST RIDGE,False,POINT (-87.6802004227905 41.998003769952)
Family Dollar #32601,3542 S Archer Ave,41.8294626186691,-87.6793915655124,MCKINLEY PARK,False,POINT (-87.6793915655124 41.8294626186691)
Finest Food & Subs,4759 N Sheridan Rd,41.9690466747172,-87.6546740589761,UPTOWN,False,POINT (-87.6546740589761 41.9690466747172)
Casa Hernandez,1725 W Lunt,42.0088967093671,-87.6733112305424,ROGERS PARK,False,POINT (-87.6733112305424 42.0088967093671)
Belmont Snack Center,2959 W Belmont Ave,41.9392539224779,-87.7026628689417,AVONDALE,False,POINT (-87.7026628689417 41.9392539224779)
Big Sharks,2424 E 75Th St,41.7591095906384,-87.5653834123844,SOUTH SHORE,False,POINT (-87.5653834123844 41.7591095906384)
Walgreens #05034,6315 S Kedzie Ave,41.778421336390494,-87.7029760581372,CHICAGO LAWN,False,POINT (-87.7029760581372 41.778421336390494)
S & S Shop 4 Less,118 S Cicero Ave,41.8788222418998,-87.7453628150769,AUSTIN,False,POINT (-87.7453628150769 41.8788222418998)
71St Food And Grocery,2304 E 71St St,41.7664162676918,-87.5695760282406,SOUTH SHORE,False,POINT (-87.5695760282406 41.7664162676918)
Franks Deli & Grocery 2,1841 W 87Th St,41.7355944024503,-87.669540853794,AUBURN GRESHAM,False,POINT (-87.669540853794 41.7355944024503)
Carniceria Ruiz Inc,3001 N Kedzie Ave,41.935791573062,-87.7073843327651,AVONDALE,False,POINT (-87.7073843327651 41.935791573062)
Wild Forks Foods,1001 W North Ave,41.9107292920993,-87.6531526218953,NEAR NORTH SIDE,False,POINT (-87.6531526218953 41.9107292920993)
La Surenna Dollar Store,5206 W Diversey Ave,41.931504597409,-87.7567732543473,BELMONT CRAGIN,False,POINT (-87.7567732543473 41.931504597409)
Duwell Fish Inc. #2,617 S Pulaski Rd,41.8729733773214,-87.7252581706681,WEST GARFIELD PARK,False,POINT (-87.7252581706681 41.8729733773214)
Afc Sushi @ Jewel Osco #3454,4250 N Lincoln Ave,41.9591004330378,-87.6823922417421,NORTH CENTER,False,POINT (-87.6823922417421 41.9591004330378)
Manhattan Mart Inc,424 S Clark St,41.8763592119695,-87.630880628516,LOOP,False,POINT (-87.630880628516 41.8763592119695)
Tuxedo Junction #2,4300 S Union Ave,41.8161861098614,-87.6434518234938,NEW CITY,False,POINT (-87.6434518234938 41.8161861098614)
The Local Store Inc.,4117 W Madison St,41.8805780761146,-87.7288495277654,WEST GARFIELD PARK,False,POINT (-87.7288495277654 41.8805780761146)
1918 Winter Street Illinois Llc,5353 N Elston Ave,41.9787102643773,-87.7571537720416,JEFFERSON PARK,False,POINT (-87.7571537720416 41.9787102643773)
Dsd Deli And Market Llc,5205 N Milwaukee,41.9748485315733,-87.7668290504377,JEFFERSON PARK,False,POINT (-87.7668290504377 41.9748485315733)
B.P.,3269-3287 S Archer Ave,41.8346137837903,-87.6705294294106,MCKINLEY PARK,False,POINT (-87.6705294294106 41.8346137837903)
1 Stop Market & Grill,2132-2134 W Washington Blvd,41.8831944724282,-87.6804664902161,NEAR WEST SIDE,False,POINT (-87.6804664902161 41.8831944724282)
Eastview Inc,1501 W Jarvis Ave,42.0159376027819,-87.6682441046934,ROGERS PARK,False,POINT (-87.6682441046934 42.0159376027819)
Hebron International Food Market,4404 W Fullerton Ave,41.924472635554,-87.7367895049934,HERMOSA,False,POINT (-87.7367895049934 41.924472635554)
Penny Profit Store,6422 N Western Ave,41.9984383230326,-87.6900521751803,WEST RIDGE,False,POINT (-87.6900521751803 41.9984383230326)
75Th State Shell,7449-59 S State St,41.758603815578,-87.6246208249225,GREATER GRAND CROSSING,False,POINT (-87.6246208249225 41.758603815578)
Shell,7449-7459 S State St,41.758603815578,-87.6246208249225,GREATER GRAND CROSSING,False,POINT (-87.6246208249225 41.758603815578)
Romanian Kosher Sausage Co,7200 N Clark St,42.0126785024364,-87.6747930363413,ROGERS PARK,False,POINT (-87.6747930363413 42.0126785024364)
Serrellis Finer Foods,6454-6460 W North Ave,41.9092298949998,-87.7871288207177,AUSTIN,False,POINT (-87.7871288207177 41.9092298949998)
Fish Corner,6408-6410 N Campbell Ave,41.998001980285,-87.6924810469506,WEST RIDGE,False,POINT (-87.6924810469506 41.998001980285)
Top Butcher,7128 W Grand Ave,41.9237368564362,-87.803789794549,MONTCLARE,False,POINT (-87.803789794549 41.9237368564362)
Madison Food & More Inc.,3851 W Madison St,41.88065348059391,-87.7228156137901,WEST GARFIELD PARK,False,POINT (-87.7228156137901 41.88065348059391)
7-Eleven #33912B,35 E Wacker Dr,41.886831512316895,-87.6265560849364,LOOP,False,POINT (-87.6265560849364 41.886831512316895)
Ogie'S Food Mart,2600-2604 W Lithuanian Plaza Ct,41.768365835791,-87.6883009077208,CHICAGO LAWN,False,POINT (-87.6883009077208 41.768365835791)
Morse Green Arch Food Mart,1337-1339 W Morse Ave,42.007813543743296,-87.6651582920393,ROGERS PARK,False,POINT (-87.6651582920393 42.007813543743296)
Gong Ming Food Market,208 W 24Th St,41.8492618732156,-87.6323703749626,ARMOUR SQUARE,False,POINT (-87.6323703749626 41.8492618732156)
7 Eleven #33729A,45 E Chicago Ave,41.896591441537105,-87.626467110625,NEAR NORTH SIDE,False,POINT (-87.626467110625 41.896591441537105)
"Kedzie Food Mart, Inc.",745 S Kedzie Ave,41.8714475991763,-87.7056916624013,EAST GARFIELD PARK,False,POINT (-87.7056916624013 41.8714475991763)
M & H Food & Deli,10500 S Michigan Ave,41.703415218678,-87.6208096791161,ROSELAND,False,POINT (-87.6208096791161 41.703415218678)
Speedy Convenient,2801 W 63Rd St,41.7790050459017,-87.6934501185802,CHICAGO LAWN,False,POINT (-87.6934501185802 41.7790050459017)
Karma Mini Mart,6214 S Ashland Ave,41.7808033525621,-87.664398538607,WEST ENGLEWOOD,False,POINT (-87.664398538607 41.7808033525621)
54 Food & Liquor,5400-5404 S Halsted St,41.7959972711947,-87.6453476738722,NEW CITY,False,POINT (-87.6453476738722 41.7959972711947)
Diamond Express Mart,2000-2002 W 79Th. St,41.7503404372806,-87.6731968977319,AUBURN GRESHAM,False,POINT (-87.6731968977319 41.7503404372806)
7-Eleven,2401 N Milwaukee Ave,41.9248974022943,-87.7003665718753,LOGAN SQUARE,False,POINT (-87.7003665718753 41.9248974022943)
Chicagoland Deli Express,3956 N Narragansett Ave,41.9527315616156,-87.7866984426282,DUNNING,False,POINT (-87.7866984426282 41.9527315616156)
Spartan Bros.Inc.,7140 N Harlem Ave,42.0111098222022,-87.806789672685,EDISON PARK,False,POINT (-87.806789672685 42.0111098222022)
Ins Market,225 N Michigan Ave Fl,41.8863774062082,-87.6243816704397,LOOP,False,POINT (-87.6243816704397 41.8863774062082)
M & S Family Food,6803 S Ashland Ave,41.7702267580187,-87.6638176858767,WEST ENGLEWOOD,False,POINT (-87.6638176858767 41.7702267580187)
Supermercado El Tapatio,10300 S Ewing Ave,41.7081244167505,-87.5354339153526,EAST SIDE,False,POINT (-87.5354339153526 41.7081244167505)
Nottoli Italian Foods,5025 N Harlem Ave,41.97262352493689,-87.8069308429968,NORWOOD PARK,False,POINT (-87.8069308429968 41.97262352493689)
Citgo,1151 W 63Rd St,41.7795037676572,-87.6541017870517,ENGLEWOOD,False,POINT (-87.6541017870517 41.7795037676572)
Shell,8249-8259 S State St,41.7439972152549,-87.6241944552967,CHATHAM,False,POINT (-87.6241944552967 41.7439972152549)
83Rd State Shell,8259 S State St,41.743702317364495,-87.6241859290832,CHATHAM,False,POINT (-87.6241859290832 41.743702317364495)
Montrose Deli Inc,5407-5417 W Montrose Ave,41.9604282640688,-87.7626656720388,PORTAGE PARK,False,POINT (-87.7626656720388 41.9604282640688)
Mohsen Food Mart Inc,4156 W Cermak Rd,41.8515898825789,-87.7294540133583,NORTH LAWNDALE,False,POINT (-87.7294540133583 41.8515898825789)
Save A Lot #21653,7908 S Halsted St,41.7503223874082,-87.6441824060583,AUBURN GRESHAM,False,POINT (-87.6441824060583 41.7503223874082)
Chicago Mm Deal,3950 W Cermak Rd,41.8516637839813,-87.7242929372576,NORTH LAWNDALE,False,POINT (-87.7242929372576 41.8516637839813)
Taqueria El Jardin,1303 W Huron St,41.8942599262721,-87.6597504137324,WEST TOWN,False,POINT (-87.6597504137324 41.8942599262721)
New York Food Mart,4136 N Broadway,41.9578207454949,-87.6527897636792,UPTOWN,False,POINT (-87.6527897636792 41.9578207454949)
Ya Ya Mini Mart,1458 W 18Th St,41.857945166903505,-87.6637121013889,LOWER WEST SIDE,False,POINT (-87.6637121013889 41.857945166903505)
7-Eleven #240606B,2600 N Lincoln Ave,41.9289716507196,-87.6539017568013,LINCOLN PARK,False,POINT (-87.6539017568013 41.9289716507196)
Wreckd Snacks,2903 W 59Th St,41.7862538165858,-87.6961824139355,CHICAGO LAWN,False,POINT (-87.6961824139355 41.7862538165858)
Citgo,5103-5117 W Madison St,41.880292815356,-87.7527682825168,AUSTIN,False,POINT (-87.7527682825168 41.880292815356)
Frank Food Mart,5050 W Madison St,41.8805193021521,-87.7521954262497,AUSTIN,False,POINT (-87.7521954262497 41.8805193021521)
Go Mart Inc.,4604 N Kedzie Ave,41.9648628665564,-87.708507719744,ALBANY PARK,False,POINT (-87.708507719744 41.9648628665564)
Kolatek'S Bakery Inc.,2445-2447 N Harlem Ave,41.9248233284734,-87.8061343543856,MONTCLARE,False,POINT (-87.8061343543856 41.9248233284734)
Harczak Sausages,7035 W Higgins Ave,41.9802892968044,-87.8036901578412,NORWOOD PARK,False,POINT (-87.8036901578412 41.9802892968044)
Romero Especies,2415 N Cicero Ave,41.9247444266305,-87.7461709278712,BELMONT CRAGIN,False,POINT (-87.7461709278712 41.9247444266305)
Deli Spot & Ice Cream,6627 N Clark St,42.0025912541835,-87.6720123326131,ROGERS PARK,False,POINT (-87.6720123326131 42.0025912541835)
Jewel-Osco #3181,87 W 87Th St,41.7361451282369,-87.6269178439735,CHATHAM,False,POINT (-87.6269178439735 41.7361451282369)
"Sushi Avenue, Inc",3640 N Halsted St,41.9485198030326,-87.6496701248645,LAKE VIEW,False,POINT (-87.6496701248645 41.9485198030326)
Falcon Fuel,43-57 N Homan Blvd,41.8822112920406,-87.7108986080365,EAST GARFIELD PARK,False,POINT (-87.7108986080365 41.8822112920406)
Afc Sushi @ Jewel Osco #3234,102 W Division St,41.904007749058,-87.6316108449446,NEAR NORTH SIDE,False,POINT (-87.6316108449446 41.904007749058)
Edible Arrangments,2362 N Clybourn Ave,41.9248572333933,-87.6691308629621,LINCOLN PARK,False,POINT (-87.6691308629621 41.9248572333933)
Ecuabariedades Cazho,16 S Kostner,41.8800526510284,-87.7356040875341,WEST GARFIELD PARK,False,POINT (-87.7356040875341 41.8800526510284)
Market Pam Tropical,5540 W North Ave,41.909499044958,-87.7647109791247,AUSTIN,False,POINT (-87.7647109791247 41.909499044958)
"Sushi Avenue, Inc.",3201-3225 N Ashland Ave,41.9397446157345,-87.6685161010639,LAKE VIEW,False,POINT (-87.6685161010639 41.9397446157345)
Potash Bros Inc,875 N State St,41.8988781974238,-87.6281111483033,NEAR NORTH SIDE,False,POINT (-87.6281111483033 41.8988781974238)
7-Eleven #33920H,3152 W 111Th St,41.6916807485625,-87.7005161745232,MOUNT GREENWOOD,False,POINT (-87.7005161745232 41.6916807485625)
The Bayouk Group,5824 W Division St,41.9021636153519,-87.7716665155311,AUSTIN,False,POINT (-87.7716665155311 41.9021636153519)
South Loop Market,2340 N California Ave,41.924017757586,-87.6975423745426,LOGAN SQUARE,False,POINT (-87.6975423745426 41.924017757586)
Fantastic Food Mart Inc,2453 E 75Th St,41.7589043222685,-87.5642620430134,SOUTH SHORE,False,POINT (-87.5642620430134 41.7589043222685)
T & L Convenience Store And Restaurant,5038 W Madison St,41.880525101359,-87.7517400897556,AUSTIN,False,POINT (-87.7517400897556 41.880525101359)
Josephs Finest Meats Inc,7101 W Addison St,41.9452249446671,-87.8033645481086,DUNNING,False,POINT (-87.8033645481086 41.9452249446671)
Fresh Stop,930 W Belmont Ave,41.9400398968501,-87.6527558788004,LAKE VIEW,False,POINT (-87.6527558788004 41.9400398968501)
Casa Roman,6978 N Clark St,42.00885647224089,-87.6740803739619,ROGERS PARK,False,POINT (-87.6740803739619 42.00885647224089)
"New York Deli, Inc.",316 E 47Th St,41.809457735882,-87.6188328588615,GRAND BOULEVARD,False,POINT (-87.6188328588615 41.809457735882)
S & T Provision Co.,3804 W 111Th St,41.6914459102858,-87.715673103885,MOUNT GREENWOOD,False,POINT (-87.715673103885 41.6914459102858)
The Bodega,1000 N Hamlin Ave,41.8991505862318,-87.7214622859742,HUMBOLDT PARK,False,POINT (-87.7214622859742 41.8991505862318)
C&M Deli,1113 W Chicago Ave,41.8961482343828,-87.6559089332873,WEST TOWN,False,POINT (-87.6559089332873 41.8961482343828)
Circle K,3601 N Western Ave,41.9468234003182,-87.688112633821,NORTH CENTER,False,POINT (-87.688112633821 41.9468234003182)
Citgo,8601-8615 S Halsted St,41.737973780282495,-87.6435254107888,AUBURN GRESHAM,False,POINT (-87.6435254107888 41.737973780282495)
Miko'S,4125 N Kimball Ave,41.956450402202,-87.7128452298273,IRVING PARK,False,POINT (-87.7128452298273 41.956450402202)
Fezo Grocery Inc.,342 E 71St St,41.7657891412205,-87.6167913943788,GREATER GRAND CROSSING,False,POINT (-87.6167913943788 41.7657891412205)
Quick Food Mart,3424 W Ohio St,41.8919426370059,-87.7124878053994,HUMBOLDT PARK,False,POINT (-87.7124878053994 41.8919426370059)
Bossman Market & Fast Food,1945 S Keeler Ave,41.854372897033,-87.7295654406356,NORTH LAWNDALE,False,POINT (-87.7295654406356 41.854372897033)
Fine Fair Food & Liquor,3357-3359 W 16Th St,41.8589206858733,-87.7101738892696,NORTH LAWNDALE,False,POINT (-87.7101738892696 41.8589206858733)
Rosalinda Food Market Plus,5924 W Roosevelt St,41.8655895146432,-87.7728382926561,AUSTIN,False,POINT (-87.7728382926561 41.8655895146432)
Foodsmart,3413-3419 W Diversey Ave,41.9318534676552,-87.7128261800949,LOGAN SQUARE,False,POINT (-87.7128261800949 41.9318534676552)
Falcon Fuel,7858 S Western Ave,41.7501917279248,-87.6829967215591,ASHBURN,False,POINT (-87.6829967215591 41.7501917279248)
Western Montrose Shell,4346 N Western Ave,41.9609132153612,-87.6888174201694,NORTH CENTER,False,POINT (-87.6888174201694 41.9609132153612)
Douglas Park Dollar & Food,1514 S Kedzie Ave,41.86087643673591,-87.7056581692223,NORTH LAWNDALE,False,POINT (-87.7056581692223 41.86087643673591)
8245 Kedzie Mart,8245 S Kedzie Ave,41.7429852521848,-87.7020642848133,ASHBURN,False,POINT (-87.7020642848133 41.7429852521848)
Save A Lot,414-424 S Pulaski Rd,41.8747401644184,-87.7256071101661,WEST GARFIELD PARK,False,POINT (-87.7256071101661 41.8747401644184)
Keeler Food Mart,4150 W Roosevelt Rd,41.866216951203,-87.729689336645,NORTH LAWNDALE,False,POINT (-87.729689336645 41.866216951203)
Circle K,2 N Wabash Ave,41.8821345537885,-87.6263633033626,LOOP,False,POINT (-87.6263633033626 41.8821345537885)
7-Eleven # 30099C,6540 W Belmont Ave,41.9383623815073,-87.790006288159,DUNNING,False,POINT (-87.790006288159 41.9383623815073)
Elmouine1122 Corp.,3857-3859 W Madison,41.8806501624938,-87.7230471534104,WEST GARFIELD PARK,False,POINT (-87.7230471534104 41.8806501624938)
Rudy'S Food & Liquor,1558 W 69Th St,41.768662295987,-87.6638416537146,WEST ENGLEWOOD,False,POINT (-87.6638416537146 41.768662295987)
7-Eleven #26825,3800 N Kedzie Ave,41.9503702668103,-87.7080669684227,IRVING PARK,False,POINT (-87.7080669684227 41.9503702668103)
7-Eleven,343 S Dearborn St,41.8771467862163,-87.629121233169,LOOP,False,POINT (-87.629121233169 41.8771467862163)
B.P.,2953-2959 W Fulton St,41.886375632623,-87.7010050165726,EAST GARFIELD PARK,False,POINT (-87.7010050165726 41.886375632623)
Metro Spice Mart,229 S Jefferson St,41.8783961049393,-87.6424016569327,NEAR WEST SIDE,False,POINT (-87.6424016569327 41.8783961049393)
Metro Spice Mart,125 S Jefferson St Ste A,41.879762888454,-87.6424464563556,NEAR WEST SIDE,False,POINT (-87.6424464563556 41.879762888454)
Patel Bros,2610 W Devon Ave,41.9977473006482,-87.6952511580755,WEST RIDGE,False,POINT (-87.6952511580755 41.9977473006482)
"Quick Food Mart 2, Inc.",547 N Kedzie Ave,41.891759531797,-87.7062947815695,HUMBOLDT PARK,False,POINT (-87.7062947815695 41.891759531797)
