DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes,__source_csv
Western Food Mart,7052 S Western Ave,CHICAGO,IL,60636.0,2025-04-23,Out Of Business,,41.7649594967238,-87.6833957006477,WESTERN FOOD MART,7052 S WESTERN AVE,True,False,False,POINT (-87.6833957006477 41.7649594967238),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,,
Dulceria Velasco,2731 W 59Th St,CHICAGO,IL,60629.0,2025-04-23,Fail,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING FOOD TEMPERATURE MEASURING DEVICE. INSTD TO OBTAIN AND MAINTAIN ON SITE. PRIORITY FOUNDATION 7-38-005 | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: MISSING PEST CONTROL LOGBOOK AND PROOF OF SERVICE. INSTD TO PROVIDE AND MAINTAIN ON SITE. PRIORITY FOUNDATION 7-38-020(A)  | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD PREP CART OUTSIDE IN FRONT OF PREMISES. (NOT IN USE AT THIS TIME). INSTD TO REMOVE AND MAINTAIN. PRIORITY FOUNDATION 7-38-005 | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: NO HOT RUNNING WATER AT HANDWASH SINK IN TOILET ROOM. INSTD TO PROVIDED MINIMUM (100F) PRIORITY VIOLATION 7-38-030 | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: NO LICENSED GARBAGE DISPOSAL SERVICE. INSTD TO OBTAIN AND MAINTAIN. PRIORITY FOUNDATION 7-38-020(C)",41.7863186719278,-87.6923116055893,DULCERIA VELASCO,2731 W 59TH ST,True,False,True,POINT (-87.6923116055893 41.7863186719278),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,,
"79 Food & Deli, Inc.",343 E 79Th St,CHICAGO,IL,60619.0,2025-04-23,Fail,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CHICAGO CERTIFIED FOOD MANAGER'S SANITATION CERTIFICATE ON SITE. INSTRUCTED TO OBTAIN AND MAINTAIN A VALID CFM CERTIFICATE ON SITE. PRIORITY FOUNDATION 7-38-012 NO CITATION | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE'S HEALTH POLICY ON SITE. INSTRUCTED TO OBTAIN AND MAINTAIN AN EMPLOYEE'S HEALTH POLICY ON SITE. PRIORITY FOUNDATION 7-38-010 NO CITATION ISSUED | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: FOIL ON THE PREP TABLE IN THE FOOD PREP AREA. INSTRUCTED TO REMOVE AND CLEAN. MAINTAIN A SMOOTH AND EASILY CLEANABLE SURFACE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: RAW WOOD UNDER THE 3-COMPARTMENT SINK NOT SEALED. INSTRUCTED TO SEAL AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: MUST FIX AND MAINTAIN THE LEAK AT THE BASE OF THE FAUCET ON THE 3-COMPARTMENT SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BED IN REAR ROOM MUST BE REMOVED FROM THE PREMISES. MAINTAIN SAME. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: MUST OBTAIN AND MAINTAIN A VALID ALLERGEN TRAINING CERTIFICATE.",41.750982043915,-87.6164554849679,79 FOOD DELI INC,343 E 79TH ST,True,False,True,POINT (-87.6164554849679 41.750982043915),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,,,
Sam 95 Food Inc,1452 W 95Th St,CHICAGO,IL,60643.0,2025-04-23,Pass,,41.7213568596737,-87.6599616802764,SAM 95 FOOD INC,1452 W 95TH ST,True,False,False,POINT (-87.6599616802764 41.7213568596737),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,,,
Lawrence Food & Deli,1113 W Lawrence Ave,CHICAGO,IL,60640.0,2025-04-22,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO VERIFIABLE EMPLOYEE HEALTH POLICY ON SITE. LEFT TEMPLATE AND INSTRUCTED TO MAINTAIN COPIES OF EMPLOYEE HEALTH POLICY SIGNED BY ALL EMPLOYEES ON SITE AT ALL TIMES. PRIOIRTY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED 1 DELI DISPLAY CASE COOLER MAINTAINING IMPROPER AMBIENT TEMPERATURE OF 51.0F. COOLER TAGGED AND HELD FOR INSPECTION. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN COOLER SO THAT IT MAINTAINS PROPER AMBIENT TEMPERATURE OF 41F OR BELOW. PRIORITY VIOLATION 7-38-005. NO CITATION ISSUED. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER CERTIFICATES ON SITE AT TIME OF INSPECTION. INSTRUCTED ALL FOOD EMPLOYEES MUST COMPLETE FOOD HANDLER TRAINING AND MAINTAIN RECORDS THEREOF ON SITE AT ALL TIMES.",41.9689355714895,-87.6582007180482,LAWRENCE FOOD DELI,1113 W LAWRENCE AVE,True,False,False,POINT (-87.6582007180482 41.9689355714895),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,,
59Th Street Food Mart,33 E 59Th St,CHICAGO,IL,60637.0,2025-04-21,Out Of Business,,41.7872769637555,-87.6241380031761,59TH STREET FOOD MART,33 E 59TH ST,True,False,False,POINT (-87.6241380031761 41.7872769637555),39.0,WASHINGTON PARK,42373881.4842,40.0,40.0,28175.3160866,,,,,
63Rd Street Food Mart,6359 S Dr Martin Luther King Jr Dr,CHICAGO,IL,60637.0,2025-04-21,Out Of Business,,41.778490647369,-87.6154378195282,63RD STREET FOOD MART,6359 S DR MARTIN LUTHER KING JR DR,True,False,False,POINT (-87.6154378195282 41.778490647369),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,,,
Star Farm Chicago,5256 S Ashland,CHICAGO,IL,60609.0,2025-04-21,Fail,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED NO CHEMICAL SANITIZER AVAILABLE FOR USE ON-SITE AT TIME OF LICENSE INSPECTION. INSTRUCTED TO PROVIDE APPROVED CHEMICAL SANITIZER FOR USE IN WAREWASHING AND MAINTAINING AVAILABLE ON-SITE AT ALL TIMES.  PRIORITY VIOLATION. 7-38-005 NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO FOOD TEMPERATURE MEASURING PROBE THERMOMETER AVAILABLE FOR USE ON-SITE AT TIME OF LICENSE INSPECTION. INSTRUCTED TO PROVIDE A FOOD TEMPERATURE MEASURING PROBE THERMOMETER IN GOOD CONDITION AND MAINTAINED AND AVAILABLE FOR USE IN MEASURING FOOD TEMPERATURES ON-SITE AT ALL TIMES.  PRIORITY FOUNDATION VIOLATION. 7-38-005 NO CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED PLASTIC DELIVERY FILM ON NONFOOD-CONTACT SURFACES OF SEVERAL EQUIPMENT ITEMS THROUGHOUT FACILITY (3-COMPARTMENT SINK, VENTILATION HOOD, FOOD PREPARATION TABLES). INSTRUCTED TO REMOVE DELIVERY FILM PRIOR TO USE AND MAINTAIN ALL NONFOOD-CONTACT SURFACES OF EQUIPMENT SMOOTH AND EASILY-CLEANABLE. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED NO CHEMICAL SANITIZER TEST KIT FOR MEASURING CHEMICAL SANITIZER CONCENTRATION PROVIDED ON-SITE AT TIME OF LICENSE INSPECTION. INSTRUCTED TO PROVIDE APPROPRIATE CHEMICAL SANITIZER TEST KIT FOR RESPECTIVE SANITIZER USED FOR WAREWASHING AND MAINTAINED AVAILABLE FOR USE ON-SITE AT ALL TIMES.  PRIORITY FOUNDATION VIOLATION. 7-38-005 NO CITATION ISSUED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE ALL-GENDER WASHROOM. INSTRUCTED TO MAINTAIN COVERED WASTE RECEPTACLE IN WOMEN'S OR ALL-GENDER TOILET ROOMS FOR THE DISPOSAL OF SANITARY PRODUCTS.",41.7978189145709,-87.6648302194387,STAR FARM CHICAGO,5256 S ASHLAND,True,False,True,POINT (-87.6648302194387 41.7978189145709),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,,
Hyde Park Bp Am Pm,5130 S Lake Park Ave,CHICAGO,IL,60615.0,2025-04-21,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE HAND SINK IN THE FRONT PREP AREA WITH A SLOW DRAIN. MUST REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS INSIDE THE WALK IN COOLERS AND FREEZER NEED TO BE CLEAN TO REMOVE DEBRIS AND SPILLS.",41.801456552461,-87.5877418621558,HYDE PARK BP AM PM,5130 S LAKE PARK AVE,True,False,True,POINT (-87.5877418621558 41.801456552461),40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,,,
7-Eleven #33698J,6401 N Sheridan Rd,CHICAGO,IL,60626.0,2025-04-18,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19: **C** Nonfood-Contact Surfaces MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS.",41.9983088063897,-87.6596963832564,7ELEVEN 33698J,6401 N SHERIDAN RD,True,False,False,POINT (-87.6596963832564 41.9983088063897),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,,
Sacramento Three Brothers,603 S Sacramento Blvd,CHICAGO,IL,60612.0,2025-04-18,Pass W/ Conditions,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: 2-101.11  OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER PRESENT WHILE TCS FOODS ARE BEING PREPARED OR SERVED.   PREMISES PREPARES PIZZA AND GROUND BEEF.  MANAGEMENT INSTRUCTED THAT A CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOOD ARE BEING PREPARED OR SERVED. PRIORITY FOUNDATION VIOLATION 7-38-012. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-202.14  OBSERVED NO SELF-CLOSING DOOR DEVICE ON THE WASHROOM DOOR. MANAGEMENT INSTRUCTED TO INSTALL. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11  OBSERVED NO LIGHT SHIELD AROUND THE LIGHT FIXTURE IN THE WALK-IN COOLER. MANAGEMENT INSTRUCTED TO INSTALL. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13  OBSERVED A FOOD HANDLING EMPLOYEE WITHOUT A FOOD HANDLER CERTIFICATE. MANAGEMENT INSTRUCTED THAT ALL FOOD HANDLING EMPLOYEES MUST SHOW PROOF OF FOOD HANDLER TRAINING.",41.8736351475448,-87.7008622377332,SACRAMENTO THREE BROTHERS,603 S SACRAMENTO BLVD,True,False,True,POINT (-87.7008622377332 41.8736351475448),26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,,,
