DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Mobile Gas,6655-6659 S Kedzie Ave,CHICAGO,IL,60629.0,2024-01-18,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR IN REAR STORAGE ROOM NOT CLEAN, EXCESSIVE DIRT/DEBRIS . INSTD TO CLEAN AND MAINTAIN SAME",41.7718438797926,-87.7028254317363,MOBILE GAS,66556659 S KEDZIE AVE,True,False,False,POINT (-87.7028254317363 41.7718438797926),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
King Food & Liquor,6759 S Western Ave,CHICAGO,IL,60636.0,2023-08-25,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DEFROST AND CLEAN IN THE INTERIOR OF THE ICE CREAM REACH IN FREEZERS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST DETAIL CLEAN THE FLOORS THROUGH OUT ESPECIALLY INSIDE THE WALK IN COOLER AND REAR STORAGE AREA UNDERNEATH CRATES TO REMOVE DEBRIS AND SPILLS. ALSO CLEAN THE FAN COVERS INSIDE THE WALK IN COOLER.",41.7702433750945,-87.683248236994,KING FOOD LIQUOR,6759 S WESTERN AVE,True,False,False,POINT (-87.683248236994 41.7702433750945),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Crystal Food Mart,3251 W 63Rd St,CHICAGO,IL,60629.0,2023-06-14,Out Of Business,,41.7788309969222,-87.7051351405563,CRYSTAL FOOD MART,3251 W 63RD ST,True,False,False,POINT (-87.7051351405563 41.7788309969222),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Walgreens #5089,7111 S Western Ave,CHICAGO,IL,60636.0,2022-10-31,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DEBRIS ON SHELVING UNITS IN OFFICE, CHECKSTANDS, SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE IN STAFF WASHROOM. INSTRUCTED MANAGER TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST, DIRT AND DEBRIS ON FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN SALES, STORAGE, BREAKROOM, WASHROOM, AND OFFICE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.",41.764330122272,-87.6830868786319,WALGREENS 5089,7111 S WESTERN AVE,True,False,False,POINT (-87.6830868786319 41.764330122272),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Family Dollar Store  #6573,3120 W 63Rd St,CHICAGO,IL,60629.0,2022-08-23,Out Of Business,,41.7791027282509,-87.7016768876247,FAMILY DOLLAR STORE 6573,3120 W 63RD ST,True,False,False,POINT (-87.7016768876247 41.7791027282509),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Family Dollar Store #6944,2610 W 71St St,CHICAGO,IL,60629.0,2022-03-10,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  OBSERVED DUST BUILDUP ON SHELVING UNITS IN SALES AREA AND CHECKSTANDS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED OPENINGS IN WALLS AROUND PIPE FITTINGS IN REAR STORAGE. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN.",41.7647185265928,-87.6886592318142,FAMILY DOLLAR STORE 6944,2610 W 71ST ST,True,False,False,POINT (-87.6886592318142 41.7647185265928),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Titi Food Mart Inc,2421 W 63Rd St,CHICAGO,IL,60629.0,2021-12-14,Pass,,41.7791339147454,-87.6846167357691,TITI FOOD MART INC,2421 W 63RD ST,True,False,False,POINT (-87.6846167357691 41.7791339147454),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Dollar Buster 63,2919-2921 W 63Rd St,CHICAGO,IL,60629.0,2021-06-10,Pass,,41.7789577397838,-87.6967090071684,DOLLAR BUSTER 63,29192921 W 63RD ST,True,False,False,POINT (-87.6967090071684 41.7789577397838),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Artesian Food & Spirits,2432-2434 W 63Rd St,CHICAGO,IL,60629.0,2021-03-31,Pass,,41.7793493630842,-87.6849272890782,ARTESIAN FOOD SPIRITS,24322434 W 63RD ST,True,False,False,POINT (-87.6849272890782 41.7793493630842),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Dollar General Store #18701,6221-6227 S Kedzie Ave,CHICAGO,IL,60629.0,2020-07-08,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005 | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-302.12: MISSING FOOD TEMPERATURE MEASURING DEVICE (EX METAL STEM THERMOMETER). INSTD TO PROVIDE AND MAINTAIN SAME. PRIORITY FOUNDATION 7-38-005.,41.7801758901901,-87.7030229742506,DOLLAR GENERAL STORE 18701,62216227 S KEDZIE AVE,True,False,False,POINT (-87.7030229742506 41.7801758901901),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Star Dollar Plus,3200 W 63Rd St,CHICAGO,IL,60629.0,2020-07-02,Out Of Business,,41.7790815048834,-87.7032603654475,STAR DOLLAR PLUS,3200 W 63RD ST,True,False,False,POINT (-87.7032603654475 41.7790815048834),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Parkside Food And Liquor,3215 W 71St St,CHICAGO,IL,60629.0,2020-06-19,Pass W/ Conditions,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-203.11: NO HANDWASH SINK IN WAREWASHING AREA WHERE 3-COMPARTMENT SINK LOCATED (PREMISES USE SCOOP TO BAG ICE FOR CONSUMPTION)INSTD TO PROVIDE HANDWASH SINK UNDER CITY PLUMBING (100F-120F) IN SAME AREA. PRIORITY FOUNDATION 7-38-030(C),41.7642682460009,-87.7033825477988,PARKSIDE FOOD AND LIQUOR,3215 W 71ST ST,True,False,False,POINT (-87.7033825477988 41.7642682460009),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
"Payless Food Mart, Inc",6359 S Kedzie Bldg,chicagoBEDFORD PARK,IL,60629.0,2020-06-11,Out Of Business,,41.7771915755142,-87.7029501763979,PAYLESS FOOD MART INC,6359 S KEDZIE BLDG,True,False,False,POINT (-87.7029501763979 41.7771915755142),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Golo Gas,6655 S Kedzie Ave,CHICAGO,IL,60629.0,2020-04-23,Out Of Business,,41.7718438797926,-87.7028254317363,GOLO GAS,6655 S KEDZIE AVE,True,False,False,POINT (-87.7028254317363 41.7718438797926),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
California Tobacco & Food,2815 W 63Rd St,CHICAGO,IL,60629.0,2020-04-09,Out Of Business,,41.7789966735473,-87.6940416132008,CALIFORNIA TOBACCO FOOD,2815 W 63RD ST,True,False,False,POINT (-87.6940416132008 41.7789966735473),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
In Quick Mart,2433 W Lithuanian Plaza Ct,CHICAGO,IL,60629.0,2020-03-31,Out Of Business,,41.7682045384553,-87.6846210666415,IN QUICK MART,2433 W LITHUANIAN PLAZA CT,True,False,False,POINT (-87.6846210666415 41.7682045384553),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Stop & Shop,2757-2759 W 71St St,CHICAGO,IL,60629.0,2019-12-23,Out Of Business,,41.764432626199,-87.6928793148571,STOP SHOP,27572759 W 71ST ST,True,False,False,POINT (-87.6928793148571 41.764432626199),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Richmond Food & Liquors,2935-2937 W 59Th St,CHICAGO,IL,60629.0,2019-07-16,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS ON SITE. INSTRUCTED TO IMPLEMENT A PROCEDURE AND PROVIDE ALL SUPPLIES NECESSARY FOR HANDLING THESE EVENTS. PRIORITY FOUNDATION VIOLATION 7-38-012 NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WALLS IN REAR UNFINISHED. INSTRUCTED TO SEAL AND PAINT WALL.  FLOORS IN REAR WITH MISSING FLOOR TILES. INSTRUCTED TO PROVIDE FLOOR TILES OR MAKE FLOORS SMOOTH AND EASILY CLEANABLE.",41.786235269382495,-87.697396207242,RICHMOND FOOD LIQUORS,29352937 W 59TH ST,True,False,False,POINT (-87.697396207242 41.786235269382495),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Gas Center,3037 W 63Rd St,CHICAGO,IL,60629.0,2017-11-15,Out Of Business,,41.7789132217741,-87.6997108288426,GAS CENTER,3037 W 63RD ST,True,False,False,POINT (-87.6997108288426 41.7789132217741),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Mariam Food Mart Inc.,2441 W 63Rd St,CHICAGO,IL,60629.0,2015-08-05,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED ONE MISSING FLOOR DRAIN COVER IN THE BASEMENT ON THE FLOOR, INSTRUCTED TO REPLACE.",41.7791247622081,-87.6852905425759,MARIAM FOOD MART INC,2441 W 63RD ST,True,False,False,POINT (-87.6852905425759 41.7791247622081),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Dollar General Store #12544,6647 S Western Ave,CHICAGO,IL,60636.0,2015-07-24,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INTERIOR BOTTOM OF COOLERS AND DISPLAY SHELVES NOT CLEAN, DUST, DEBRIS. INSTD TO CLEAN AND MAINTAIN SAME.   | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOOR UNDERNEATH DISPLAY SHELVES NOT CLEAN, DEBRIS BUILD UP. INSTD TO CLEAN AND MAINTAIN SAME.   | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: TOILET ROOM DOORS AND OFFICE DOOR NEEDS DETAILED CLEANING, FREE OF DEBRIS, STAINS.",41.772406482507904,-87.6833095316773,DOLLAR GENERAL STORE 12544,6647 S WESTERN AVE,True,False,False,POINT (-87.6833095316773 41.772406482507904),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Shell Gas Station,6646-6658 S Western Ave,CHICAGO,IL,60636.0,2014-10-20,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: DEFROST AND CLEAN THE THE REACHIN CHEST FREEZER. CLEAN THE UTILITY MOP SINK IN THE REAR AREA.   | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VIOLATION CORRECTED  PREMISES NOW HAS A EXPOSED HAND SINK NEXT TO THE 3-COMPARTMENT SINK.",41.7724017599376,-87.6836027308127,SHELL GAS STATION,66466658 S WESTERN AVE,True,False,False,POINT (-87.6836027308127 41.7724017599376),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Western Convenience Store,6218 S Western Ave,CHICAGO,IL,60636.0,2013-09-24,Pass,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MOP SINK IN REAR WASHROOM WITHOUT BACKFLOW DEVICE. PROVIDE SAME.,41.780447537755904,-87.683819680633,WESTERN CONVENIENCE STORE,6218 S WESTERN AVE,True,False,False,POINT (-87.683819680633 41.780447537755904),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Express Grocery Mart,6128 S Western Ave,CHICAGO,IL,60636.0,2013-04-30,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN AND SANITIZE FLOOR INSIDE WALK-IN COOLER. MUST CLEAN AND SANTIZIE.",41.78200968693,-87.6838630996746,EXPRESS GROCERY MART,6128 S WESTERN AVE,True,False,False,POINT (-87.6838630996746 41.78200968693),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Family Dollar  # 5195,6301 S Western Ave,CHICAGO,IL,60636.0,2012-10-22,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INADEQUATE STORAGE SHELVES IN REAR STORAGE AREA.  INSTRUCTED TO PROVIDE SAME TO STORE PRODUCT PROPERLY. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CLUTTER IN REAR STORAGE AREA AND OFFICE. INSTD TO REMOVE ANY UNNECESSARY ARTICLES AND ORGANIZE SAME AREAS.",41.779128707652895,-87.6834898840497,FAMILY DOLLAR 5195,6301 S WESTERN AVE,True,False,False,POINT (-87.6834898840497 41.779128707652895),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
"Western Food Mart, Inc.",6500-6504 S Western Ave,CHICAGO,IL,60636.0,2012-05-01,Out Of Business,,41.7755057585176,-87.6836914620021,WESTERN FOOD MART INC,65006504 S WESTERN AVE,True,False,False,POINT (-87.6836914620021 41.7755057585176),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
"Shop Rite Food & Dollar, Inc.",3207 W 59Th St,CHICAGO,IL,60629.0,2012-03-26,Pass,,41.7861340742472,-87.7036814772649,SHOP RITE FOOD DOLLAR INC,3207 W 59TH ST,True,False,False,POINT (-87.7036814772649 41.7861340742472),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Dollar Tree #4691,6200-6212 S Western Ave,CHICAGO,IL,60636.0,2012-01-23,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: GAPS NOTED AT BASE OF WALL AND ALSO HOLES IN CEILING AROUND PIPES IN ELECTRICAL ROOM. INSTD TO SEAL ALL HOLES/GAPS AND PROVIDE 4 INCH WALL COVING IN SAME AREA. REPLACE WORN THRESHOLD AT REAR DOCK DOOR.",41.780960095909506,-87.6838337262349,DOLLAR TREE 4691,62006212 S WESTERN AVE,True,False,False,POINT (-87.6838337262349 41.780960095909506),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
"Mi Pueblito Mini Mart, Inc.",6101 S Kedzie Ave,CHICAGO,IL,60629.0,2010-11-04,Pass,,41.78256738985431,-87.7030966730313,MI PUEBLITO MINI MART INC,6101 S KEDZIE AVE,True,False,False,POINT (-87.7030966730313 41.78256738985431),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
